06/17/2016 11:14:15 PM !!! First Log !!!
06/17/2016 11:14:16 PM  * Running on http://localhost:57860/ (Press CTRL+C to quit)
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET / HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /static/content/bootstrap.min.css HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /static/content/site.css HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /static/scripts/bootstrap.js HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /static/scripts/jquery-1.10.2.js HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /static/scripts/modernizr-2.6.2.js HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /static/scripts/respond.js HTTP/1.1" 200 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /favicon.ico HTTP/1.1" 404 -
06/17/2016 11:14:17 PM 127.0.0.1 - - [17/Jun/2016 23:14:17] "GET /favicon.ico HTTP/1.1" 404 -
06/17/2016 11:14:38 PM 127.0.0.1 - - [17/Jun/2016 23:14:38] "GET /contact HTTP/1.1" 200 -
06/17/2016 11:14:41 PM 127.0.0.1 - - [17/Jun/2016 23:14:41] "GET / HTTP/1.1" 200 -
06/17/2016 11:14:42 PM 127.0.0.1 - - [17/Jun/2016 23:14:42] "GET /home HTTP/1.1" 200 -
